
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-02 09:46:52 /api/fire-extinguisher-locations ..................................................... ~ 1.76ms
  2026-07-02 09:46:52 /api/fire-extinguisher-locations ................................................... ~ 525.00ms
  2026-07-02 09:46:58 /api/fire-extinguisher-locations ..................................................... ~ 1.74ms
  2026-07-02 09:46:58 /api/fire-extinguisher-locations ................................................... ~ 512.36ms
  2026-07-02 09:47:10 /dashboard/incident-types .......................................................... ~ 503.46ms
  2026-07-02 09:47:10 /api/incident-types ...................................................................... ~ 1s
  2026-07-02 09:54:41 /dashboard/users ................................................................... ~ 511.71ms
  2026-07-02 09:54:41 /dashboard/users ........................................................................ ~ 13s
  2026-07-02 09:54:55 ...................................................................................... ~ 1m 16s
  2026-07-02 09:56:42 ...................................................................................... ~ 1m 44s
  2026-07-02 10:06:02 /dashboard/users ................................................................... ~ 518.95ms
  2026-07-02 10:06:02 / .................................................................................. ~ 502.54ms
  2026-07-02 10:06:27 /dashboard ......................................................................... ~ 504.37ms
  2026-07-02 10:06:27 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 10:06:27 /api/fire-extinguishers ............................................................ ~ 503.80ms
  2026-07-02 10:06:27 /api/fire-alarms ......................................................................... ~ 1s
  2026-07-02 10:06:31 /dashboard/users ................................................................... ~ 501.58ms
  2026-07-02 10:06:31 /api/users ............................................................................... ~ 1s
  2026-07-02 10:07:19 /api/users ............................................................................... ~ 1s
  2026-07-02 10:07:20 /api/users ........................................................................... ~ 0.50ms
  2026-07-02 10:07:26 /dashboard/users ..................................................................... ~ 1.17ms
  2026-07-02 10:07:26 /api/users ......................................................................... ~ 512.92ms
  2026-07-02 10:08:27 /dashboard/users ................................................................... ~ 519.52ms
  2026-07-02 10:08:27 /api/users ......................................................................... ~ 511.53ms
  2026-07-02 10:09:35 /dashboard/users ..................................................................... ~ 0.84ms
  2026-07-02 10:09:35 /api/users ......................................................................... ~ 509.42ms
  2026-07-02 10:11:18 /dashboard/users ................................................................... ~ 531.62ms
  2026-07-02 10:11:18 /api/users ............................................................................... ~ 1s
  2026-07-02 10:12:56 /api/users ............................................................................... ~ 1s
  2026-07-02 10:12:57 /api/users ........................................................................... ~ 0.26ms
  2026-07-02 10:15:51 /dashboard/fire-hydrants ................................................................. ~ 1s
  2026-07-02 10:15:53 /api/users ......................................................................... ~ 510.22ms
  2026-07-02 10:15:52 /api/locations ........................................................................... ~ 1s
  2026-07-02 10:15:53 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 10:25:40 /dashboard/points ........................................................................ ~ 1s
  2026-07-02 10:25:40 /api/points .............................................................................. ~ 1s
  2026-07-02 10:28:15 /api/points/1 ............................................................................ ~ 1s
  2026-07-02 10:28:16 /api/points ........................................................................ ~ 498.45ms
  2026-07-02 10:36:52 /dashboard/points ........................................................................ ~ 1s
  2026-07-02 10:36:58 /api/points ........................................................................ ~ 505.45ms
  2026-07-02 10:37:11 /api/auth/login .......................................................................... ~ 1s
